
                            < M A T L A B (R) >
                  Copyright 1984-2008 The MathWorks, Inc.
                         Version 7.6.0.324 (R2008a)
                             February 10, 2008

 
  To get started, type one of these: helpwin, helpdesk, or demo.
  For product information, visit www.mathworks.com.
 
  f111 in 20-D, instance 10: FEs=200001, fbest-ftarget=8.8885e+04, elapsed time [h]: 4.43
  f111 in 20-D, instance 11: FEs=200004, fbest-ftarget=8.1366e+04, elapsed time [h]: 4.47
  f111 in 20-D, instance 12: FEs=200001, fbest-ftarget=2.5039e+04, elapsed time [h]: 4.51
  f111 in 20-D, instance 13: FEs=200001, fbest-ftarget=9.5574e+04, elapsed time [h]: 4.56
  f111 in 20-D, instance 14: FEs=200003, fbest-ftarget=8.2173e+04, elapsed time [h]: 4.60
  f111 in 20-D, instance 15: FEs=200004, fbest-ftarget=7.0077e+04, elapsed time [h]: 4.64
      date and time: 2010    3   20    0   47   10
  f112 in 20-D, instance 1: FEs=58092, fbest-ftarget=-3.7610e-10, elapsed time [h]: 4.66
  f112 in 20-D, instance 2: FEs=48940, fbest-ftarget=-1.6576e-10, elapsed time [h]: 4.67
  f112 in 20-D, instance 3: FEs=57567, fbest-ftarget=-1.0955e-10, elapsed time [h]: 4.69
  f112 in 20-D, instance 4: FEs=30542, fbest-ftarget=-3.4476e-10, elapsed time [h]: 4.70
  f112 in 20-D, instance 5: FEs=29008, fbest-ftarget=-1.9570e-10, elapsed time [h]: 4.70
  f112 in 20-D, instance 6: FEs=33544, fbest-ftarget=-3.2429e-10, elapsed time [h]: 4.71
  f112 in 20-D, instance 7: FEs=64245, fbest-ftarget=-7.5883e-10, elapsed time [h]: 4.73
  f112 in 20-D, instance 8: FEs=21788, fbest-ftarget=-2.1373e-11, elapsed time [h]: 4.74
  f112 in 20-D, instance 9: FEs=33114, fbest-ftarget=-5.8541e-10, elapsed time [h]: 4.75
  f112 in 20-D, instance 10: FEs=33794, fbest-ftarget=-1.3706e-10, elapsed time [h]: 4.76
  f112 in 20-D, instance 11: FEs=42173, fbest-ftarget=-1.1286e-10, elapsed time [h]: 4.78
  f112 in 20-D, instance 12: FEs=33975, fbest-ftarget=-3.5641e-11, elapsed time [h]: 4.79
  f112 in 20-D, instance 13: FEs=26744, fbest-ftarget=-1.5152e-10, elapsed time [h]: 4.81
  f112 in 20-D, instance 14: FEs=26216, fbest-ftarget=-1.0144e-10, elapsed time [h]: 4.82
  f112 in 20-D, instance 15: FEs=57561, fbest-ftarget=-9.6442e-11, elapsed time [h]: 4.84
      date and time: 2010    3   20    0   59   21
  f113 in 20-D, instance 1: FEs=200004, fbest-ftarget=1.6777e+02, elapsed time [h]: 4.89
  f113 in 20-D, instance 2: FEs=200001, fbest-ftarget=2.2090e+02, elapsed time [h]: 4.93
  f113 in 20-D, instance 3: FEs=200003, fbest-ftarget=1.8138e+02, elapsed time [h]: 4.96
  f113 in 20-D, instance 4: FEs=200002, fbest-ftarget=2.2950e+02, elapsed time [h]: 5.00
  f113 in 20-D, instance 5: FEs=200001, fbest-ftarget=2.3334e+02, elapsed time [h]: 5.04
  f113 in 20-D, instance 6: FEs=200003, fbest-ftarget=1.7167e+02, elapsed time [h]: 5.07
  f113 in 20-D, instance 7: FEs=200001, fbest-ftarget=2.1177e+02, elapsed time [h]: 5.11
  f113 in 20-D, instance 8: FEs=200003, fbest-ftarget=2.7596e+02, elapsed time [h]: 5.15
  f113 in 20-D, instance 9: FEs=200001, fbest-ftarget=1.2266e+02, elapsed time [h]: 5.19
  f113 in 20-D, instance 10: FEs=200001, fbest-ftarget=1.6316e+02, elapsed time [h]: 5.22
  f113 in 20-D, instance 11: FEs=200001, fbest-ftarget=2.2142e+02, elapsed time [h]: 5.26
  f113 in 20-D, instance 12: FEs=200003, fbest-ftarget=2.0577e+02, elapsed time [h]: 5.30
  f113 in 20-D, instance 13: FEs=200002, fbest-ftarget=1.6122e+02, elapsed time [h]: 5.34
